"BehaviorSpace results (NetLogo 6.3.0)"
"farming_climate_change.nlogo"
"RCP-experiment-single-org"
"11/25/2024 11:31:33:580 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","64","0","64"
"[run number]","max-alt-cost-coeff","SLRrate","green-org","starting-temp","look-ahead-blue","dev-discount-red","time-btw-buy-blue","blue-org","run-time","profit-threshold-red","sell-bonus-red","dev-discount-blue","time-btw-buy-red","dev-discount-green","max-base-cost","time-btw-buy-green","look-ahead-green","profit-threshold-blue","profit-threshold-green","look-ahead-red","max-altitude","sell-bonus-blue","sell-bonus-green","red-org","min-base-cost","[step]","sum [money] of farm-orgs with [org-color = red]","sum [farm-agri-output] of farms with [color = red]","farm-coordinates","current-step"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","107","155460.0671820056","356.5224382910513","[[55 11] [44 17] [27 20] [50 58] [46 62] [42 1] [50 54] [50 35]]","107"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","108","159023.95928754186","356.3892105536273","[[44 17] [42 1] [27 20] [46 62] [50 54] [50 35] [55 11] [50 58]]","108"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","109","162586.51921760847","356.25599300665976","[[50 54] [42 1] [44 17] [27 20] [46 62] [50 35] [50 58] [55 11]]","109"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","110","166147.74707406576","356.12278564573063","[[46 62] [50 54] [50 35] [50 58] [42 1] [44 17] [27 20] [55 11]]","110"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","111","169707.64295873","355.98958846642256","[[50 54] [27 20] [44 17] [46 62] [50 35] [50 58] [55 11] [42 1]]","111"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","112","173266.2069733732","355.85640146431956","[[50 58] [50 35] [46 62] [42 1] [44 17] [27 20] [50 54] [55 11]]","112"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","113","176823.43921972325","355.7232246350061","[[55 11] [42 1] [50 35] [46 62] [44 17] [50 58] [27 20] [50 54]]","113"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","114","180379.33979946392","355.5900579740672","[[50 35] [50 58] [44 17] [42 1] [50 54] [46 62] [27 20] [55 11]]","114"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","115","183933.9088142348","355.45690147708945","[[50 35] [50 54] [50 58] [55 11] [42 1] [46 62] [44 17] [27 20]]","115"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","116","187487.1463656314","355.3237551396595","[[27 20] [55 11] [46 62] [50 58] [50 54] [44 17] [50 35] [42 1]]","116"
