x,y,HeightError,PredictedHeight,TrueHeight
244157.82,700485.35,0.11952518076197444,12.777450576782227,14.512
242579.74,700332.8,0.013081448720663358,21.59969941329956,21.886
241384.59,702552.02,0.040398331934303096,18.393644773483278,19.168
249131.56,698165.12,0.21017443270668887,20.127124931335448,25.483
247719.3,699615.69,0.1403693277410802,7.727142564773559,6.776
247489.18,696195.27,0.11156460705130183,15.04121120262146,16.93
249755.2,697906.73,0.09624978199177625,13.575957300186158,12.384
247427.51,699011.88,0.049873456531026636,17.996930791854858,17.142
241536.53,700941.08,0.018467692709237878,37.79782762145996,38.509
243196.53,698784.62,0.03238469403606353,13.394159020423889,12.974
246770.8,694715.34,0.7204831894258316,7.002366580963135,4.07
248898.2,697020.19,0.14433328486047195,16.51607893562317,19.302
243877.13,698804.36,0.0520961151552947,26.915730810165407,28.395
241737.58,703340.61,0.05697459597045362,22.13199106502533,20.939
246281.08,698308.85,0.052042036575783386,11.882814803123473,11.295
247238.52,696746.43,0.005088617074057579,10.067972677230834,10.017
243355.34,699499.6,0.063426894659312,10.07471689414978,10.757
241601.92,698278.32,0.06742504642206533,13.47850580406189,14.453
245645.45,698388.47,0.13536004615020034,15.52831935119629,13.677
245548.14,699923.94,0.16271336076184123,10.55064894104004,12.601
242699.83,699891.77,0.006781963559079144,22.421034328460692,22.27
245959.82,695390.12,0.04321910607497299,10.382029479980469,10.851
241961.41,698780.62,0.010049570989623748,16.064838426589965,15.905
241391.74,706912.65,0.006317921845779106,21.843119441986083,21.982
247642.55,696123.93,0.130170559456538,17.355706827163697,19.953
249143.57,697758.73,0.037301223093404556,8.527585765838623,8.858
243450.87,704261.58,0.12153598925984561,8.676589034080505,9.877
242842.72,698638.5,0.01448531234263445,25.11682732963562,25.486
244532.0,698299.6,0.03236625948308449,11.775169555664062,11.406
242235.14,700157.77,0.07099868484125176,24.92882129096985,26.834
246059.42,698293.09,0.016174963107782034,10.591591640472412,10.423
247772.77,696817.25,0.16648894471007514,17.392875190734863,20.867
241358.95,700518.81,0.2985677579702495,7.917065715789795,11.287
243238.22,704277.22,0.05939195467246953,13.012511379241943,12.283
248367.09,699293.21,0.02244282545763485,9.359132389068604,9.574
244700.98,699372.46,0.11899085229484035,7.9185102195739745,8.988
247507.89,696252.18,0.14479007439008487,7.4634170207977295,8.727
245096.8,695840.81,0.18388673165817548,9.864361074447633,12.087
241914.29,702825.94,0.06154205612238312,21.85199322319031,23.285
243648.41,702841.43,0.04994831810057603,8.449759658813477,8.894
245155.17,699620.84,0.011809938608163081,22.03216141319275,21.775
248043.46,696518.59,0.02651370312145826,12.807811473846435,12.477
244620.82,697214.15,0.32348360635232243,7.305629507064819,5.52
241975.74,702940.23,0.07627765850877097,9.499226613998413,8.826
244387.75,701517.29,0.08061572033901261,9.428372159957885,8.725
244260.98,700530.78,0.2847952311648587,12.78571565246582,17.877
244319.69,698975.41,0.13645770381727734,19.063559730529786,22.076
